VÉRTICE RESEARCH - RELATÓRIO ALGORÍTMICO
Data: 27/01/2026, 00:26:14
Classe: FII
Ativos Analisados: 168
--------------------------------------------------------
POS | TICKER | SCORE | AÇÃO | PREÇO ATUAL | PREÇO JUSTO | YIELD
--------------------------------------------------------
1   | AZPL11 | 99    | BUY    | 7.70        | 9.33        | 12.7%
2   | BCRI11 | 99    | BUY    | 69.85       | 94.26       | 14.4%
3   | BTAL11 | 99    | BUY    | 84.80       | 116.38      | 12.7%
4   | CLIN11 | 99    | BUY    | 91.21       | 111.32      | 13.4%
5   | CPTS11 | 99    | BUY    | 8.03        | 9.95        | 12.6%
6   | CVBI11 | 99    | BUY    | 82.78       | 107.45      | 14.3%
7   | DEVA11 | 99    | BUY    | 27.23       | 78.90       | 17.4%
8   | FGAA11 | 99    | BUY    | 9.23        | 11.63       | 14.9%
9   | GTWR11 | 99    | BUY    | 82.92       | 105.63      | 12.5%
10  | HABT11 | 99    | BUY    | 79.49       | 115.15      | 16.9%
11  | HCTR11 | 99    | BUY    | 23.07       | 79.12       | 16.1%
12  | HSAF11 | 99    | BUY    | 79.30       | 102.39      | 14.2%
13  | ICRI11 | 99    | BUY    | 91.97       | 112.66      | 13.0%
14  | IRIM11 | 99    | BUY    | 68.76       | 92.29       | 14.0%
15  | JSAF11 | 99    | BUY    | 8.09        | 10.10       | 12.8%
16  | KCRE11 | 99    | BUY    | 8.89        | 10.87       | 13.4%
17  | KISU11 | 99    | BUY    | 7.01        | 8.54        | 12.0%
18  | KNUQ11 | 99    | BUY    | 105.15      | 127.46      | 14.6%
19  | LASC11 | 99    | BUY    | 110.24      | 158.26      | 16.6%
20  | LIFE11 | 99    | BUY    | 8.78        | 12.22       | 16.1%
21  | MANA11 | 99    | BUY    | 9.32        | 11.22       | 13.8%
22  | MFII11 | 99    | BUY    | 80.44       | 114.75      | 16.0%
23  | PCIP11 | 99    | BUY    | 86.50       | 106.73      | 13.5%
24  | PORD11 | 99    | BUY    | 8.30        | 10.58       | 13.5%
