VÉRTICE RESEARCH - PROTOCOLO FORTRESS v6.0
Data: 27/01/2026, 19:36:27
Classe: FII
------------------------------------------------------------------------------------------------
POS | TICKER | SETOR          | PERFIL    | SCORE | AÇÃO   | PREÇO   | TETO (VI) | YIELD | TESE
------------------------------------------------------------------------------------------------
1   | ALZR11 | Híbrido        | DEFENSIVE | 100   | BUY    | 10.72   | 11.19     | 9.3   | DEFENSIVE: Score 100 - Retorno de divide
2   | BTLG11 | Logística      | DEFENSIVE | 100   | BUY    | 102.75  | 107.03    | 9.1   | DEFENSIVE: Score 100 - Retorno de divide
3   | CPTS11 | Papel          | DEFENSIVE | 100   | BUY    | 8.03    | 8.79      | 12.6  | DEFENSIVE: Score 100 - Yield corrente es
4   | HGLG11 | Logística      | DEFENSIVE | 100   | BUY    | 157.37  | 162.16    | 8.3   | DEFENSIVE: Score 100 - Retorno de divide
5   | HGRU11 | Renda Urbana   | DEFENSIVE | 100   | BUY    | 129.30  | 135.29    | 9.4   | DEFENSIVE: Score 100 - Retorno de divide
6   | KNCR11 | Papel          | DEFENSIVE | 100   | BUY    | 106.40  | 117.83    | 13.5  | DEFENSIVE: Score 100 - Yield corrente es
7   | KNRI11 | Híbrido        | DEFENSIVE | 100   | BUY    | 163.21  | 166.03    | 7.5   | DEFENSIVE: Score 100 - Retorno de divide
8   | TRXF11 | Renda Urbana   | DEFENSIVE | 100   | BUY    | 95.51   | 103.99    | 12.2  | DEFENSIVE: Score 100 - Yield corrente es
9   | VISC11 | Shoppings      | DEFENSIVE | 100   | BUY    | 109.35  | 113.40    | 8.8   | DEFENSIVE: Score 100 - Retorno de divide
10  | XPML11 | Shoppings      | DEFENSIVE | 100   | BUY    | 109.50  | 115.56    | 10.0  | DEFENSIVE: Score 100 - Retorno de divide
11  | TEPP11 | Lajes Corporat | DEFENSIVE | 90    | BUY    | 8.69    | 9.40      | 11.8  | DEFENSIVE: Score 90 - Retorno de dividen
12  | TGAR11 | Desenvolviment | DEFENSIVE | 90    | BUY    | 93.20   | 102.16    | 12.7  | DEFENSIVE: Score 90 - Yield corrente est
13  | BCIA11 | Fundo de Fundo | MODERATE  | 89    | BUY    | 92.75   | 100.51    | 11.9  | MODERATE: Score 89 - Retorno de dividend
14  | GRUL11 | Logística      | MODERATE  | 89    | BUY    | 8.99    | 9.87      | 12.8  | MODERATE: Score 89 - Yield corrente este
15  | GTWR11 | Lajes Corporat | MODERATE  | 89    | BUY    | 82.92   | 90.59     | 12.5  | MODERATE: Score 89 - Yield corrente este
16  | RZAT11 | Híbrido        | MODERATE  | 89    | BUY    | 90.64   | 100.08    | 13.2  | MODERATE: Score 89 - Yield corrente este
